Feature,Mean Error,RMSE,Correlation
Mean F0,5.111144949342909,65.89464475134949,0.06142585247755917
Median F0,0.3954217242345621,67.82938193545338,0.042082855535645655
SD F0,15.455005368261608,42.686459208778935,0.015303366179024558
Min F0,-3.446251316991427,52.247169161303205,-0.062391956009938
Max F0,75.90956533035435,197.21605090635785,-0.013776972665508185
Mean Intensity,-6.693995842385573,7.533529823066854,-0.03987407296218312
HNR,3.357942232891301,6.317585667871289,-0.12284076682821335
Local Jitter,0.0006496132414749721,0.012739012695233086,-0.03049817431614151
Absolute Jitter,6.671157536237696e-07,0.00011769937104804538,-0.0046371037460896354
RAP,0.00031078825661523643,0.006733185127046132,-0.044978021492012146
PPQ5,0.0002743646507219872,0.0068766957290804665,-0.027201391117319552
DDP,0.0009323647880908123,0.020199555370776032,-0.04497802068022497
Local Shimmer,0.0006669385788753404,0.045793327690666,-0.057700698383279854
Local Shimmer dB,0.009390451208655073,0.3578404491979275,-0.04250007774921817
APQ3,0.0004373645098349121,0.023810861400529564,-0.07668889074920321
APQ5,0.00040142275533747466,0.03521941155224622,-0.06219467455655389
APQ11,0.00031137727117412,0.07042866083357835,-0.0029512541261372833
DDA,0.0013120935573067477,0.07143258424113635,-0.07668889155541572
